,Año,Clave_Ent,Entidad,Cve. Municipio,Municipio,Tipo de delito,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
9048,2015,7,Chiapas,7013,Bochil,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9146,2015,7,Chiapas,7014,El Bosque,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9244,2015,7,Chiapas,7015,Cacahoatán,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9342,2015,7,Chiapas,7016,Catazajá,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9440,2015,7,Chiapas,7017,Cintalapa,Abuso sexual,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9538,2015,7,Chiapas,7018,Coapilla,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9636,2015,7,Chiapas,7019,Comitán de Domínguez,Abuso sexual,0,0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
9734,2015,7,Chiapas,7020,La Concordia,Abuso sexual,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9832,2015,7,Chiapas,7021,Copainalá,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9930,2015,7,Chiapas,7022,Chalchihuitán,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10028,2015,7,Chiapas,7023,Chamula,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10126,2015,7,Chiapas,7024,Chanal,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10224,2015,7,Chiapas,7025,Chapultenango,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10322,2015,7,Chiapas,7026,Chenalhó,Abuso sexual,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10420,2015,7,Chiapas,7027,Chiapa de Corzo,Abuso sexual,0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0
10518,2015,7,Chiapas,7028,Chiapilla,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10616,2015,7,Chiapas,7029,Chicoasén,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10714,2015,7,Chiapas,7030,Chicomuselo,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10812,2015,7,Chiapas,7031,Chilón,Abuso sexual,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10910,2015,7,Chiapas,7032,Escuintla,Abuso sexual,1,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11008,2015,7,Chiapas,7033,Francisco León,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11106,2015,7,Chiapas,7034,Frontera Comalapa,Abuso sexual,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11204,2015,7,Chiapas,7035,Frontera Hidalgo,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11302,2015,7,Chiapas,7036,La Grandeza,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11400,2015,7,Chiapas,7037,Huehuetán,Abuso sexual,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11498,2015,7,Chiapas,7038,Huixtán,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
